SongTitle,Artist
Hello World,Lady Antebellum
Cranes In The Sky,Solange
Prblms,6LACK
Super Bass,Nicki Minaj
Heartache On The Dance Floor,Jon Pardi
Wild Boy,MGK Featuring Waka Flocka Flame
Homeboy,Eric Church
It Won't Stop,Sevyn Streeter Featuring Chris Brown
Born This Way,Lady Gaga
H*A*M,Kanye West Jay Z
Bad,Wale Featuring Tiara Thomas Or Rihanna
F**k Love,XXXTentacion Featuring Trippie Redd
Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING
Roses,The Chainsmokers Featuring Rozes
Runnin' Outta Moonlight,Randy Houser
Without You,Glee Cast
The A Team,Ed Sheeran
She's Got A Way With Words,Blake Shelton
Dare (La La La),Shakira
West Coast,Lana Del Rey
I Don't Like,Chief Keef Featuring Lil Reese
Rockin' Around The Christmas Tree,Brenda Lee
Boyfriend,New Hollow
Santa Tell Me,Ariana Grande
Big Night,Big Time Rush
Boots,The Killers
Everybody Dies,J. Cole
Cooler Than Me,Mike Posner
Beer Money,Kip Moore
Tonight Looks Good On You,Jason Aldean
You And Your Friends,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign
Runaway Baby,Bruno Mars
Let Me Love You,Ariana Grande Featuring Lil Wayne
Who I Am,Danielle Bradbery
Catch My Breath,Kelly Clarkson
Why Ya Wanna,Jana Kramer
With Them,Young Thug
Outta My Head,Craig Campbell
Fix You,Glee Cast
2 On,Tinashe Featuring ScHoolboy Q
This Is Gospel,Panic! At The Disco
Midnight City,M83.
Wake Me Up!,Avicii
Roman's Revenge,Nicki Minaj Featuring Eminem
Royals,Taylor John Williams
Promise,Kid Ink Featuring Fetty Wap
OTW,DJ Luke Nasty
Slow Motion,Trey Songz
Used To Love You Sober,Kane Brown
Red Opps,21 Savage
Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack"
Unforgettable,French Montana Featuring Swae Lee
