acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_title,artist_name
0.312,https://api.spotify.com/v1/audio-analysis/4T5Z4mbTe7kuGqgLpaRtTh,0.536,203293,0.722,0,4,0.117,-4.163,1,0.0284,143.78,4,0.472,Any Ol' Barstool,Jason Aldean
0.119,https://api.spotify.com/v1/audio-analysis/5tFep7dXGd7vEJ668wTPux,0.85,190312,0.405,0.000118,7,0.0707,-7.509,0,0.225,139.976,4,0.337,Both,Gucci Mane Featuring Drake
0.159,https://api.spotify.com/v1/audio-analysis/6KI1ZpZWYAJLvmVhCJz65G,0.332,201493,0.635,0.00000279,7,0.0599,-5.653,1,0.0898,186.249,3,0.286,You Don't Own Me,Grace Featuring G-Eazy
0.235,https://api.spotify.com/v1/audio-analysis/76gUmNLXGQVOsGhfcshkFP,0.834,205163,0.527,0.00968,7,0.632,-10.4,1,0.193,105.86,4,0.321,Madiba Riddim,Drake
0.015,https://api.spotify.com/v1/audio-analysis/6LOCAhFzZiavHcLJucLuDy,0.652,229147,0.827,0,7,0.432,-3.98,0,0.0445,100.011,4,0.67,Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih
0.000668,https://api.spotify.com/v1/audio-analysis/67dyMPOUsbZ9Yg06PnfAAh,0.804,225135,0.456,0,8,0.31,-7.44,1,0.0468,130.014,4,0.176,Draco,Future
0.29,https://api.spotify.com/v1/audio-analysis/3mRcWCyteY2133a7xVMrYw,0.628,254370,0.481,0,1,0.118,-7.775,1,0.475,108.761,5,0.316,Comin Out Strong,Future Featuring The Weeknd
0.0251,https://api.spotify.com/v1/audio-analysis/2YMhrXQYKkm4kXLcXKKd5z,0.554,205733,0.743,0,9,0.359,-6.016,1,0.0287,72.997,4,0.673,Boy,Lee Brice
0.244,https://api.spotify.com/v1/audio-analysis/5uQOauh47VFt3B2kV9kRXw,0.812,128157,0.621,0,5,0.099,-8.3,1,0.0515,77.998,4,0.847,My Sh*t,A Boogie Wit da Hoodie
0.124,https://api.spotify.com/v1/audio-analysis/6jA8HL9i4QGzsj6fjoxp8Y,0.611,221904,0.644,0,6,0.124,-7.607,0,0.0553,105.969,4,0.137,There For You,Martin Garrix x Troye Sivan
0.92,https://api.spotify.com/v1/audio-analysis/6Kkt27YmFyIFrcX3QXFi2o,0.575,171728,0.22,0,10,0.0962,-11.178,0,0.0992,81.601,4,0.348,Liability,Lorde
0.0223,https://api.spotify.com/v1/audio-analysis/1PS1QMdUqOal0ai3Gt7sDQ,0.638,207627,0.699,0,1,0.0917,-5.54,0,0.384,92.939,4,0.681,Gold,Kiiara
0.035,https://api.spotify.com/v1/audio-analysis/7uoMPWQIGU8wwrPrc94x1m,0.611,258158,0.478,0,0,0.107,-5.839,1,0.107,172.076,4,0.138,Beast Mode,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again
0.118,https://api.spotify.com/v1/audio-analysis/3QGsuHI8jO1Rx4JWLUh9jd,0.672,187973,0.81,0,10,0.106,-4.104,0,0.226,82.888,4,0.775,Treat You Better,Shawn Mendes
0.186,https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb,0.768,216897,0.517,0.000038,7,0.104,-4.323,0,0.0312,104.992,4,0.408,Havana,Camila Cabello Featuring Young Thug
