,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist_name,PeakPos
0,0.022,https://api.spotify.com/v1/audio-analysis/5SE57ljOIUJ1ybL9U6CuBH,0.598,223123,0.775,5SE57ljOIUJ1ybL9U6CuBH,0.0,1,0.0677,-4.035,0,0.0545,129.819,4,https://api.spotify.com/v1/tracks/5SE57ljOIUJ1ybL9U6CuBH,audio_features,spotify:track:5SE57ljOIUJ1ybL9U6CuBH,0.687,DNA.,Kendrick Lamar,4
0,0.0596,https://api.spotify.com/v1/audio-analysis/4nxgA1nvXvTkmsBY0vJV57,0.615,216267,0.88,4nxgA1nvXvTkmsBY0vJV57,0.0,0,0.247,-4.69,1,0.0348,112.996,4,https://api.spotify.com/v1/tracks/4nxgA1nvXvTkmsBY0vJV57,audio_features,spotify:track:4nxgA1nvXvTkmsBY0vJV57,0.308,Road Less Traveled,Lauren Alaina,67
0,0.0374,https://api.spotify.com/v1/audio-analysis/1rM0CnyUiiw6A9CHJRXjZA,0.676,193792,0.776,1rM0CnyUiiw6A9CHJRXjZA,0.0,8,0.226,-6.629,1,0.0908,113.92,4,https://api.spotify.com/v1/tracks/1rM0CnyUiiw6A9CHJRXjZA,audio_features,spotify:track:1rM0CnyUiiw6A9CHJRXjZA,0.804,Chillin' Like A Villain,"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope",95
0,0.427,https://api.spotify.com/v1/audio-analysis/7vu0JkJh0ldukEYbTVcqd0,0.725,176320,0.42,7vu0JkJh0ldukEYbTVcqd0,0.0,8,0.061,-6.811,1,0.0811,113.975,4,https://api.spotify.com/v1/tracks/7vu0JkJh0ldukEYbTVcqd0,audio_features,spotify:track:7vu0JkJh0ldukEYbTVcqd0,0.424,Issues,Meek Mill,77
0,0.0962,https://api.spotify.com/v1/audio-analysis/0jOfl1nZf6sVBTG08Q4brn,0.852,232705,0.727,0jOfl1nZf6sVBTG08Q4brn,0.0,1,0.154,-4.851,1,0.267,130.014,4,https://api.spotify.com/v1/tracks/0jOfl1nZf6sVBTG08Q4brn,audio_features,spotify:track:0jOfl1nZf6sVBTG08Q4brn,0.48,Call Casting,Migos,62
0,0.000676,https://api.spotify.com/v1/audio-analysis/021C5AyF13a0czo2b2FudS,0.486,300547,0.973,021C5AyF13a0czo2b2FudS,0.0,10,0.145,-4.161,1,0.104,144.987,4,https://api.spotify.com/v1/tracks/021C5AyF13a0czo2b2FudS,audio_features,spotify:track:021C5AyF13a0czo2b2FudS,0.37,4:00 AM,2 Chainz Featuring Travis Scott,55
0,0.105,https://api.spotify.com/v1/audio-analysis/67iF3DdebmElASIGoebYt1,,73887,2.01e-05,67iF3DdebmElASIGoebYt1,,5,,-15.776,1,,0.0,,https://api.spotify.com/v1/tracks/67iF3DdebmElASIGoebYt1,audio_features,spotify:track:67iF3DdebmElASIGoebYt1,,Fade,Kanye West,47
0,0.0995,https://api.spotify.com/v1/audio-analysis/0H8XeaJunhvpBdBFIYi6Sh,0.613,234213,0.702,0H8XeaJunhvpBdBFIYi6Sh,0,7,0.116,-6.498,1,0.0458,133.932,4,https://api.spotify.com/v1/tracks/0H8XeaJunhvpBdBFIYi6Sh,audio_features,spotify:track:0H8XeaJunhvpBdBFIYi6Sh,0.374,Deja Vu,Lauren Duski,75
0,0.0254,https://api.spotify.com/v1/audio-analysis/6yMxfx9wpiuhhdb8vHDVMu,0.519,205373,0.57,6yMxfx9wpiuhhdb8vHDVMu,0,1,0.0821,-7.366,1,0.202,164.155,4,https://api.spotify.com/v1/tracks/6yMxfx9wpiuhhdb8vHDVMu,audio_features,spotify:track:6yMxfx9wpiuhhdb8vHDVMu,0.303,Wins & Losses,Meek Mill,79
0,0.00909,https://api.spotify.com/v1/audio-analysis/3wUX7HpXS382s1DHTRouVk,0.71,172013,0.805,3wUX7HpXS382s1DHTRouVk,0,1,0.141,-5.471,1,0.0637,92.601,4,https://api.spotify.com/v1/tracks/3wUX7HpXS382s1DHTRouVk,audio_features,spotify:track:3wUX7HpXS382s1DHTRouVk,0.895,We The People....,A Tribe Called Quest,77
